rate_line.location_code,rate_line.location,rate_line.rate,rate_line.pulse
1193,Afghanistan,0.3056,60
11937,Afghanistan - Mobile,0.3056,60
119377,Afghanistan - Mobile Areeba,0.3143,60
119375,Afghanistan - Mobile AT,0.3032,60
119370,Afghanistan - Mobile AWCC,0.2883,60
119378,Afghanistan - Mobile Etisalat,0.2874,60
119379,Afghanistan - Mobile Roshan,0.2993,60
11355,Albania,0.2516,60
1135538,Albania - Mobile,0.4899,60
1135566,Albania - Mobile,0.4899,60
1135567,Albania - Mobile,0.4899,60
1135568,Albania - Mobile,0.4899,60
1135569,Albania - Mobile,0.4899,60
11213,Algeria,0.0858,60
1121321,Algeria - Algiers,0.0858,60
112131,Algeria - CAT,0.0858,60
112135,Algeria - Mobile,0.5828,60
112136,Algeria - Mobile,0.5828,60
112137,Algeria - Mobile,0.5828,60
112139,Algeria - Mobile,0.5828,60
684,American Samoa,0.0569,60
6842,American Samoa - Mobile,0.0569,60
68473,American Samoa - Mobile,0.0569,60
11376,Andorra,0.0339,60
113763,Andorra - Mobile,0.252,60
113764,Andorra - Mobile,0.252,60
113765,Andorra - Mobile,0.252,60
113766,Andorra - Mobile,0.252,60
11244,Angola,0.1139,60
1124491,Angola - Mobile,0.1139,60
1124492,Angola - Mobile,0.1139,60
1124493,Angola - Mobile,0.1139,60
264,Anguilla,0.323,60
268,Antigua and Barbuda,0.2093,60
268464,Antigua and Barbuda - Mobile,0.3327,60
268716,Antigua and Barbuda - Mobile,0.3327,60
268717,Antigua and Barbuda - Mobile,0.3327,60
268718,Antigua and Barbuda - Mobile,0.3327,60
268719,Antigua and Barbuda - Mobile,0.3327,60
26872,Antigua and Barbuda - Mobile,0.3327,60
268732,Antigua and Barbuda - Mobile,0.3327,60
268734,Antigua and Barbuda - Mobile,0.3327,60
268736,Antigua and Barbuda - Mobile,0.3327,60
268764,Antigua and Barbuda - Mobile,0.3327,60
26877,Antigua and Barbuda - Mobile,0.3327,60
268780,Antigua and Barbuda - Mobile,0.3327,60
268781,Antigua and Barbuda - Mobile,0.3327,60
268782,Antigua and Barbuda - Mobile,0.3327,60
268783,Antigua and Barbuda - Mobile,0.3327,60
268784,Antigua and Barbuda - Mobile,0.3327,60
268785,Antigua and Barbuda - Mobile,0.3327,60
268786,Antigua and Barbuda - Mobile,0.3327,60
268788,Antigua and Barbuda - Mobile,0.3327,60
268789,Antigua and Barbuda - Mobile,0.3327,60
1154,Argentina,0.0396,60
115411,Argentina - Buenos Aires,0.0258,60
1154351,Argentina - Cordoba,0.0281,60
11549,Argentina - Mobile,0.1277,60
11374,Armenia,0.1497,60
1137447,Armenia - Mobile,0.2591,60
113745,Armenia - Mobile,0.2591,60
1137460,Armenia - Mobile,0.2591,60
113747,Armenia - Mobile,0.2591,60
113749,Armenia - Mobile,0.2591,60
11297,Aruba,0.2993,60
11247,Ascension,2.2712,60
1161,Australia,0.0367,60
1161380,Australia - Melbourne,0.0337,60
1161381,Australia - Melbourne,0.0337,60
1161382,Australia - Melbourne,0.0337,60
1161383,Australia - Melbourne,0.0337,60
1161384,Australia - Melbourne,0.0337,60
1161385,Australia - Melbourne,0.0337,60
1161386,Australia - Melbourne,0.0337,60
1161387,Australia - Melbourne,0.0337,60
1161388,Australia - Melbourne,0.0337,60
116139,Australia - Melbourne,0.0337,60
1161261,Australia - Metro Cities,0.0315,60
1161262,Australia - Metro Cities,0.0315,60
116173,Australia - Metro Cities,0.0315,60
1161861,Australia - Metro Cities,0.0315,60
1161862,Australia - Metro Cities,0.0315,60
1161863,Australia - Metro Cities,0.0315,60
1161864,Australia - Metro Cities,0.0315,60
1161865,Australia - Metro Cities,0.0315,60
1161871,Australia - Metro Cities,0.0315,60
1161872,Australia - Metro Cities,0.0315,60
1161873,Australia - Metro Cities,0.0315,60
1161874,Australia - Metro Cities,0.0315,60
1161881,Australia - Metro Cities,0.0315,60
1161882,Australia - Metro Cities,0.0315,60
1161883,Australia - Metro Cities,0.0315,60
1161884,Australia - Metro Cities,0.0315,60
1161892,Australia - Metro Cities,0.0315,60
1161893,Australia - Metro Cities,0.0315,60
1161894,Australia - Metro Cities,0.0315,60
11611,Australia - Mobile,0.1098,60
11614,Australia - Mobile,0.1098,60
1161401,Australia - Mobile Optus,0.1033,60
1161402,Australia - Mobile Optus,0.1033,60
1161403,Australia - Mobile Optus,0.1033,60
1161411,Australia - Mobile Optus,0.1033,60
1161412,Australia - Mobile Optus,0.1033,60
1161413,Australia - Mobile Optus,0.1033,60
1161421,Australia - Mobile Optus,0.1033,60
1161422,Australia - Mobile Optus,0.1033,60
1161423,Australia - Mobile Optus,0.1033,60
1161431,Australia - Mobile Optus,0.1033,60
1161432,Australia - Mobile Optus,0.1033,60
1161434,Australia - Mobile Optus,0.1033,60
1161435,Australia - Mobile Optus,0.1033,60
1161466,Australia - Mobile Optus,0.1033,60
11614683,Australia - Mobile Optus,0.1033,60
11614684,Australia - Mobile Optus,0.1033,60
11614685,Australia - Mobile Optus,0.1033,60
11614686,Australia - Mobile Optus,0.1033,60
11614687,Australia - Mobile Optus,0.1033,60
11614688,Australia - Mobile Optus,0.1033,60
11614689,Australia - Mobile Optus,0.1033,60
1161478,Australia - Mobile Optus,0.1033,60
11614790,Australia - Mobile Optus,0.1033,60
11614791,Australia - Mobile Optus,0.1033,60
116114331,Australia - Mobile Satellite,0.2508,60
1161145,Australia - Mobile Satellite,0.2508,60
1161147,Australia - Mobile Satellite,0.2508,60
1161400,Australia - Mobile Telstra,0.1022,60
1161407,Australia - Mobile Telstra,0.1022,60
1161408,Australia - Mobile Telstra,0.1022,60
1161409,Australia - Mobile Telstra,0.1022,60
1161417,Australia - Mobile Telstra,0.1022,60
1161418,Australia - Mobile Telstra,0.1022,60
1161419,Australia - Mobile Telstra,0.1022,60
1161427,Australia - Mobile Telstra,0.1022,60
1161428,Australia - Mobile Telstra,0.1022,60
1161429,Australia - Mobile Telstra,0.1022,60
1161437,Australia - Mobile Telstra,0.1022,60
1161438,Australia - Mobile Telstra,0.1022,60
1161439,Australia - Mobile Telstra,0.1022,60
11614444,Australia - Mobile Telstra,0.1022,60
1161447,Australia - Mobile Telstra,0.1022,60
1161448,Australia - Mobile Telstra,0.1022,60
1161457,Australia - Mobile Telstra,0.1022,60
1161458,Australia - Mobile Telstra,0.1022,60
1161459,Australia - Mobile Telstra,0.1022,60
1161467,Australia - Mobile Telstra,0.1022,60
1161477,Australia - Mobile Telstra,0.1022,60
1161487,Australia - Mobile Telstra,0.1022,60
11614880,Australia - Mobile Telstra,0.1022,60
11614881,Australia - Mobile Telstra,0.1022,60
11614882,Australia - Mobile Telstra,0.1022,60
11614883,Australia - Mobile Telstra,0.1022,60
11614884,Australia - Mobile Telstra,0.1022,60
11614885,Australia - Mobile Telstra,0.1022,60
11614886,Australia - Mobile Telstra,0.1022,60
11614887,Australia - Mobile Telstra,0.1022,60
11614889,Australia - Mobile Telstra,0.1022,60
1161404,Australia - Mobile Vodafone,0.1076,60
1161405,Australia - Mobile Vodafone,0.1076,60
1161406,Australia - Mobile Vodafone,0.1076,60
1161410,Australia - Mobile Vodafone,0.1076,60
1161414,Australia - Mobile Vodafone,0.1076,60
1161415,Australia - Mobile Vodafone,0.1076,60
1161416,Australia - Mobile Vodafone,0.1076,60
1161420,Australia - Mobile Vodafone,0.1076,60
1161424,Australia - Mobile Vodafone,0.1076,60
1161426,Australia - Mobile Vodafone,0.1076,60
1161449,Australia - Mobile Vodafone,0.1076,60
1161450,Australia - Mobile Vodafone,0.1076,60
1161451,Australia - Mobile Vodafone,0.1076,60
1161452,Australia - Mobile Vodafone,0.1076,60
1161453,Australia - Mobile Vodafone,0.1076,60
116113,Australia - Special Services,0.0485,60
116128,Australia - Sydney,0.0312,60
116129,Australia - Sydney,0.0312,60
1161891006,Australia - Territories,0.0377,60
1161891007,Australia - Territories,0.0377,60
1161891008,Australia - Territories,0.0377,60
1161891010,Australia - Territories,0.0377,60
1161891011,Australia - Territories,0.0377,60
1161891012,Australia - Territories,0.0377,60
116189162,Australia - Territories,0.0377,60
116189164,Australia - Territories,0.0377,60
1143,Austria,0.0367,60
1143501,Austria - Corporate,0.0374,60
1143502,Austria - Corporate,0.0374,60
1143503,Austria - Corporate,0.0374,60
1143504,Austria - Corporate,0.0374,60
1143505,Austria - Corporate,0.0374,60
1143506,Austria - Corporate,0.0374,60
1143507,Austria - Corporate,0.0374,60
1143508,Austria - Corporate,0.0374,60
1143509,Austria - Corporate,0.0374,60
1143517,Austria - Corporate,0.0374,60
114357,Austria - Corporate,0.0374,60
114359,Austria - Corporate,0.0374,60
1143710,Austria - Corporate,0.0374,60
1143718,Austria - Corporate,0.0374,60
1143644,Austria - Mobile,0.4253,60
1143650,Austria - Mobile,0.4253,60
1143651,Austria - Mobile,0.4253,60
1143652,Austria - Mobile,0.4253,60
1143653,Austria - Mobile,0.4253,60
1143655,Austria - Mobile,0.4253,60
11436555,Austria - Mobile,0.4253,60
11436562,Austria - Mobile,0.4253,60
11436568,Austria - Mobile,0.4253,60
1143657,Austria - Mobile,0.4253,60
1143659,Austria - Mobile,0.4253,60
114366,Austria - Mobile,0.4253,60
114367,Austria - Mobile,0.4253,60
114368,Austria - Mobile,0.4253,60
1143699,Austria - Mobile,0.4253,60
1143711,Austria - Mobile,0.4253,60
1143720,Austria - Mobile,0.4253,60
1143730,Austria - Mobile,0.4253,60
1143740,Austria - Mobile,0.4253,60
1143780,Austria - Mobile,0.4253,60
1143810,Austria - Mobile,0.4253,60
1143820,Austria - Mobile,0.4253,60
11431,Austria - Vienna,0.036,60
11994,Azerbaijani Republic,0.3072,60
1199440,Azerbaijani Republic - Mobile,0.4781,60
1199444,Azerbaijani Republic - Mobile,0.4781,60
1199450,Azerbaijani Republic - Mobile,0.4781,60
1199451,Azerbaijani Republic - Mobile,0.4781,60
1199455,Azerbaijani Republic - Mobile,0.4781,60
1199460,Azerbaijani Republic - Mobile,0.4781,60
1199470,Azerbaijani Republic - Mobile,0.4781,60
1199477,Azerbaijani Republic - Mobile,0.4781,60
242,Bahamas,0.219,60
11973,Bahrain,0.1056,60
119733,Bahrain - Mobile,0.1128,60
11973663,Bahrain - Mobile,0.1128,60
11973666,Bahrain - Mobile,0.1128,60
119737,Bahrain - Mobile,0.1128,60
1197377,Bahrain - Mobile,0.1128,60
119739,Bahrain - Mobile,0.1128,60
11880,Bangladesh,0.0581,60
118802,Bangladesh - Dhaka,0.0482,60
1188011,Bangladesh - Mobile,0.0465,60
1188015,Bangladesh - Mobile,0.0465,60
1188016,Bangladesh - Mobile,0.0465,60
1188017,Bangladesh - Mobile,0.0465,60
1188018,Bangladesh - Mobile,0.0465,60
1188019,Bangladesh - Mobile,0.0465,60
246,Barbados,0.2205,60
24623,Barbados - Mobile,0.3387,60
24624,Barbados - Mobile,0.3387,60
24625,Barbados - Mobile,0.3387,60
24626,Barbados - Mobile,0.3387,60
246446,Barbados - Mobile,0.3387,60
246447,Barbados - Mobile,0.3387,60
246448,Barbados - Mobile,0.3387,60
246449,Barbados - Mobile,0.3387,60
24645,Barbados - Mobile,0.3387,60
24652,Barbados - Mobile,0.3387,60
246530,Barbados - Mobile,0.3387,60
246531,Barbados - Mobile,0.3387,60
246532,Barbados - Mobile,0.3387,60
246533,Barbados - Mobile,0.3387,60
246534,Barbados - Mobile,0.3387,60
24682,Barbados - Mobile,0.3387,60
24683,Barbados - Mobile,0.3387,60
24684,Barbados - Mobile,0.3387,60
11375,Belarus,0.4568,60
1137525,Belarus - Mobile,1.1813,60
1137529,Belarus - Mobile,1.1813,60
1137533,Belarus - Mobile,1.1813,60
1137544,Belarus - Mobile,1.1813,60
11375602,Belarus - Mobile,1.1813,60
1132,Belgium,0.0356,60
11323,Belgium - Antwerp,0.0342,60
11322,Belgium - Brussels,0.0355,60
11324,Belgium - Mobile,0.5513,60
11321,Belgium - Special Services,0.138,60
11325,Belgium - Special Services,0.138,60
113260,Belgium - Special Services,0.138,60
113261,Belgium - Special Services,0.138,60
113263,Belgium - Special Services,0.138,60
113264,Belgium - Special Services,0.138,60
113265,Belgium - Special Services,0.138,60
113267,Belgium - Special Services,0.138,60
113268,Belgium - Special Services,0.138,60
113269,Belgium - Special Services,0.138,60
113270,Belgium - Special Services,0.138,60
113271,Belgium - Special Services,0.138,60
113272,Belgium - Special Services,0.138,60
113273,Belgium - Special Services,0.138,60
113275,Belgium - Special Services,0.138,60
113277,Belgium - Special Services,0.138,60
113278,Belgium - Special Services,0.138,60
11328,Belgium - Special Services,0.138,60
113290,Belgium - Special Services,0.138,60
113292,Belgium - Special Services,0.138,60
113293,Belgium - Special Services,0.138,60
113295,Belgium - Special Services,0.138,60
113296,Belgium - Special Services,0.138,60
11501,Belize,0.3162,60
115016,Belize - Mobile,0.3204,60
11229,Benin,0.3387,60
441,Bermuda,0.0552,60
4413,Bermuda - Mobile,0.0554,60
44150,Bermuda - Mobile,0.0554,60
44151,Bermuda - Mobile,0.0554,60
44152,Bermuda - Mobile,0.0554,60
44153,Bermuda - Mobile,0.0554,60
44155,Bermuda - Mobile,0.0554,60
44159,Bermuda - Mobile,0.0554,60
4417,Bermuda - Mobile,0.0554,60
11975,Bhutan,0.1331,60
11591,Bolivia,0.2285,60
11591441,Bolivia - Cochabamba,0.1466,60
11591442,Bolivia - Cochabamba,0.1466,60
11591443,Bolivia - Cochabamba,0.1466,60
11591444,Bolivia - Cochabamba,0.1466,60
11591445,Bolivia - Cochabamba,0.1466,60
11591446,Bolivia - Cochabamba,0.1466,60
11591447,Bolivia - Cochabamba,0.1466,60
11591448,Bolivia - Cochabamba,0.1466,60
11591449,Bolivia - Cochabamba,0.1466,60
11591221,Bolivia - La Paz,0.1536,60
11591222,Bolivia - La Paz,0.1536,60
11591223,Bolivia - La Paz,0.1536,60
11591224,Bolivia - La Paz,0.1536,60
11591225,Bolivia - La Paz,0.1536,60
11591226,Bolivia - La Paz,0.1536,60
11591227,Bolivia - La Paz,0.1536,60
11591228,Bolivia - La Paz,0.1536,60
11591229,Bolivia - La Paz,0.1536,60
115916,Bolivia - Mobile,0.2757,60
115917,Bolivia - Mobile,0.2757,60
1159133,Bolivia - Santa Cruz,0.1442,60
115912500,Bolivia - Special Services,0.2835,60
11591251,Bolivia - Special Services,0.2835,60
11591252,Bolivia - Special Services,0.2835,60
11591253,Bolivia - Special Services,0.2835,60
11591254,Bolivia - Special Services,0.2835,60
11591255,Bolivia - Special Services,0.2835,60
115912600,Bolivia - Special Services,0.2835,60
1159126052,Bolivia - Special Services,0.2835,60
1159126053,Bolivia - Special Services,0.2835,60
11591261,Bolivia - Special Services,0.2835,60
11591262,Bolivia - Special Services,0.2835,60
11591263,Bolivia - Special Services,0.2835,60
1159133133,Bolivia - Special Services,0.2835,60
1159133134,Bolivia - Special Services,0.2835,60
1159133135,Bolivia - Special Services,0.2835,60
1159133136,Bolivia - Special Services,0.2835,60
1159133137,Bolivia - Special Services,0.2835,60
1159133138,Bolivia - Special Services,0.2835,60
115913323,Bolivia - Special Services,0.2835,60
1159133736,Bolivia - Special Services,0.2835,60
1159133737,Bolivia - Special Services,0.2835,60
11591338230,Bolivia - Special Services,0.2835,60
11591338232,Bolivia - Special Services,0.2835,60
11591338239,Bolivia - Special Services,0.2835,60
11591338842,Bolivia - Special Services,0.2835,60
11591338843,Bolivia - Special Services,0.2835,60
1159134150,Bolivia - Special Services,0.2835,60
1159134151,Bolivia - Special Services,0.2835,60
115913420,Bolivia - Special Services,0.2835,60
115913421,Bolivia - Special Services,0.2835,60
1159134220,Bolivia - Special Services,0.2835,60
1159134221,Bolivia - Special Services,0.2835,60
115913462,Bolivia - Special Services,0.2835,60
115913463,Bolivia - Special Services,0.2835,60
115913464,Bolivia - Special Services,0.2835,60
115913465,Bolivia - Special Services,0.2835,60
115913466,Bolivia - Special Services,0.2835,60
115913467,Bolivia - Special Services,0.2835,60
1159134710,Bolivia - Special Services,0.2835,60
1159134711,Bolivia - Special Services,0.2835,60
1159134712,Bolivia - Special Services,0.2835,60
1159134713,Bolivia - Special Services,0.2835,60
1159134714,Bolivia - Special Services,0.2835,60
1159138310,Bolivia - Special Services,0.2835,60
1159138311,Bolivia - Special Services,0.2835,60
1159138312,Bolivia - Special Services,0.2835,60
1159138313,Bolivia - Special Services,0.2835,60
1159138314,Bolivia - Special Services,0.2835,60
115913842,Bolivia - Special Services,0.2835,60
1159138439,Bolivia - Special Services,0.2835,60
115913844,Bolivia - Special Services,0.2835,60
115913845,Bolivia - Special Services,0.2835,60
115913846,Bolivia - Special Services,0.2835,60
115913847,Bolivia - Special Services,0.2835,60
115913850,Bolivia - Special Services,0.2835,60
1159144133,Bolivia - Special Services,0.2835,60
1159144134,Bolivia - Special Services,0.2835,60
1159144135,Bolivia - Special Services,0.2835,60
1159144136,Bolivia - Special Services,0.2835,60
1159144137,Bolivia - Special Services,0.2835,60
1159144138,Bolivia - Special Services,0.2835,60
1159144139,Bolivia - Special Services,0.2835,60
115914434,Bolivia - Special Services,0.2835,60
115914438,Bolivia - Special Services,0.2835,60
115914457,Bolivia - Special Services,0.2835,60
115914477,Bolivia - Special Services,0.2835,60
115914478,Bolivia - Special Services,0.2835,60
1159144825,Bolivia - Special Services,0.2835,60
1159144826,Bolivia - Special Services,0.2835,60
1159144827,Bolivia - Special Services,0.2835,60
1159144828,Bolivia - Special Services,0.2835,60
1159144829,Bolivia - Special Services,0.2835,60
1159144885,Bolivia - Special Services,0.2835,60
1159144886,Bolivia - Special Services,0.2835,60
1159144887,Bolivia - Special Services,0.2835,60
1159144888,Bolivia - Special Services,0.2835,60
1159144889,Bolivia - Special Services,0.2835,60
